X,Y,Z,Intensity
10.943168,-15.689552,109.59659,7.0
11.123079,-15.649353,109.30555,7.0
10.998346,-15.189881,106.086174,8.0
10.799626,-14.64663,102.28216,8.0
10.044374,-13.381195,93.43598,9.0
9.245818,-12.103098,84.503006,9.0
8.408474,-10.818796,75.528366,9.0
7.379213,-9.334895,65.16215,9.0
6.7252574,-8.366979,58.39944,10.0
7.167465,-8.772119,61.22062,10.0
7.058458,-8.500464,59.318264,10.0
4.83295,-5.7286243,39.971268,11.0
4.4005394,-5.1351953,35.82659,13.0
4.165509,-4.786704,33.39146,14.0
4.262759,-4.8247848,33.65319,17.0
4.3147955,-4.8113213,33.555325,19.0
3.510758,-3.8576016,26.900625,23.0
2.9432037,-3.187438,22.224604,28.0
3.2384684,-3.4574513,24.104315,34.0
2.9965644,-3.1544402,21.989063,41.0
3.0566854,-3.1733415,22.118017,46.0
2.8219092,-2.8897421,20.138758,52.0
3.1465547,-3.1789362,22.15128,56.0
3.7692392,-3.7575862,26.179937,61.0
3.530939,-3.4740047,24.200928,65.0
3.695823,-3.5893068,25.000767,69.0
4.018012,-3.8524954,26.830286,70.0
3.9871128,-3.774779,26.285383,71.0
3.6172013,-3.3820236,23.547142,71.0
3.2787373,-3.0279472,21.078905,71.0
3.4241633,-3.1239173,21.743858,68.0
4.2494464,-3.8304036,26.657427,67.0
4.9273295,-4.388875,30.539553,65.0
5.2111335,-4.587374,31.91602,62.0
4.400107,-3.8286428,26.633224,60.0
4.263606,-3.6674695,25.508152,57.0
4.4777746,-3.8081698,26.482653,55.0
5.4515,-4.5844803,31.876259,53.0
5.743095,-4.7763305,33.204952,51.0
5.025281,-4.133672,28.732609,48.0
5.292315,-4.306264,29.927425,46.0
6.4247384,-5.171785,35.936695,41.0
9.279392,-7.390677,51.346416,36.0
10.897952,-8.588908,59.66111,30.0
11.791315,-9.196686,63.87213,25.0
14.444883,-11.150797,77.430466,21.0
20.329317,-15.533991,107.84851,18.0
27.895782,-21.101435,146.47633,13.0
35.436317,-26.538666,184.18669,11.0
43.576588,-32.313484,224.22592,10.0
47.9762,-35.22887,244.41217,9.0
48.893276,-35.555405,246.63293,9.0
50.76125,-36.560574,253.559,9.0
53.247665,-37.987892,263.40927,9.0
54.149708,-38.26871,265.30698,9.0
54.26366,-37.99252,263.34268,9.0
53.18034,-36.89088,255.65817,8.0
56.2475,-38.662243,267.88254,8.0
53.547565,-36.473347,252.66727,7.0
52.088615,-35.16142,243.5314,7.0
51.904816,-34.72592,240.46776,7.0
51.883133,-34.405613,238.20235,7.0
48.44025,-31.841991,220.40927,6.0
46.078083,-30.027002,207.80396,6.0
42.936996,-27.739952,191.93709,6.0
36.316322,-23.262926,160.92671,8.0
28.051367,-17.817074,123.22819,10.0
20.932737,-13.184365,91.1679,12.0
19.314913,-12.064441,83.40619,12.0
15.226483,-9.4324665,65.196434,13.0
