X,Y,Z,Intensity
38.206085,-24.148405,169.32298,255.0
28.7892,-18.042862,126.48607,255.0
21.68579,-13.477268,94.46006,255.0
19.256186,-11.868019,83.16353,255.0
16.71223,-10.215358,71.5675,255.0
14.270342,-8.651555,60.59868,255.0
12.415568,-7.466139,52.284264,255.0
12.144015,-7.2441897,50.71892,255.0
12.345125,-7.3054857,51.136826,255.0
13.951538,-8.19086,57.321537,255.0
16.034576,-9.339975,65.34871,255.0
17.603622,-10.174145,71.169075,255.0
19.45751,-11.158789,78.039024,255.0
22.187458,-12.626913,88.286156,255.0
25.345083,-14.314253,100.0608,255.0
28.087141,-15.7432,110.02397,255.0
40.519207,-22.541435,157.49771,255.0
55.903008,-30.868498,215.62825,239.0
60.920616,-33.39091,233.19283,236.0
67.87246,-36.928772,257.8385,244.0
72.60449,-39.21619,273.74332,252.0
74.611664,-40.009422,279.2125,255.0
78.2767,-41.67392,290.7573,255.0
77.99946,-41.230824,287.5949,255.0
80.62457,-42.317345,295.10034,255.0
81.85888,-42.66377,297.44168,255.0
82.920456,-42.91595,299.1245,255.0
83.47657,-42.904865,298.9714,255.0
84.05678,-42.906235,298.90454,255.0
85.66181,-43.427124,302.45544,255.0
86.60893,-43.609684,303.64825,255.0
86.83504,-43.429188,302.31262,255.0
87.925095,-43.6803,303.9808,255.0
88.59062,-43.71859,304.1668,255.0
89.61406,-43.931824,305.56903,255.0
90.42466,-44.038616,306.22977,255.0
91.031204,-44.04529,306.19357,255.0
91.62476,-44.045635,306.11282,255.0
92.34891,-44.108353,306.46494,255.0
9.906386,-13.825817,99.2392,255.0
9.548405,-13.077062,93.85597,255.0
9.286856,-12.485436,89.601234,255.0
9.261331,-12.226729,87.73613,255.0
8.938248,-11.591306,83.16824,255.0
8.287491,-10.560444,75.76414,255.0
7.6338053,-9.561163,68.58795,255.0
6.7694836,-8.336098,59.793594,255.0
6.2968965,-7.625953,54.694042,255.0
5.71022,-6.8029838,48.786385,255.0
5.19757,-6.0931373,43.691063,255.0
4.942999,-5.703433,40.892136,255.0
0.0,-0.0,0.0,255.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,255.0
29.986006,-22.304203,159.11948,255.0
35.065533,-25.82033,184.17166,255.0
43.577538,-31.76882,226.5613,255.0
48.852024,-35.26315,251.43665,255.0
50.537285,-36.12374,257.5267,255.0
52.02523,-36.828026,262.5,255.0
53.389626,-37.432217,266.7577,255.0
54.662357,-37.961292,270.47818,255.0
55.342075,-38.07248,271.21982,255.0
55.796066,-38.027744,270.8502,255.0
56.294884,-38.01412,270.70166,255.0
56.932896,-38.093872,271.21762,255.0
56.671143,-37.575596,267.4759,255.0
55.46675,-36.447212,259.393,255.0
54.2895,-35.35657,251.58139,252.0
53.632698,-34.6211,246.29916,243.0
51.011055,-32.641212,232.16737,238.0
48.79756,-30.954512,220.12581,236.0
43.799137,-27.54532,195.84218,244.0
38.0017,-23.695929,168.43903,255.0
28.632113,-17.702885,125.81223,255.0
21.364197,-13.098696,93.071335,255.0
19.054293,-11.585524,82.30228,255.0
16.735058,-10.091628,71.674545,255.0
14.2618475,-8.530027,60.570465,255.0
12.291579,-7.292088,51.768837,255.0
12.103417,-7.1227937,50.555927,255.0
12.261684,-7.1584444,50.79779,255.0
13.878372,-8.038236,57.028316,255.0
15.777526,-9.066548,64.30945,255.0
17.780058,-10.137804,71.89171,255.0
19.854774,-11.23336,79.642685,255.0
22.300852,-12.520624,88.74887,255.0
25.71565,-14.328061,101.53695,255.0
28.090864,-15.533362,110.05285,255.0
39.564816,-21.714249,153.80797,255.0
55.444122,-30.20305,213.886,242.0
61.971085,-33.509514,237.24464,237.0
68.29677,-36.659496,259.4841,244.0
72.31203,-38.53253,272.67606,255.0
74.94915,-39.64946,280.51187,255.0
77.39169,-40.64819,287.50726,255.0
78.92322,-41.157627,291.03873,255.0
80.312744,-41.586334,293.99722,255.0
81.86971,-42.095123,297.5197,255.0
82.51979,-42.13378,297.7179,255.0
83.52419,-42.35156,299.1808,255.0
83.41764,-42.00691,296.67032,255.0
85.12974,-42.57653,300.61584,255.0
86.03614,-42.738216,301.6793,255.0
86.79648,-42.825653,302.21765,255.0
87.62191,-42.943825,302.97195,255.0
88.47561,-43.0742,303.8114,255.0
89.07746,-43.081047,303.77884,255.0
90.00022,-43.24199,304.832,255.0
90.83659,-43.359608,305.5787,255.0
91.208,-43.25519,304.7601,255.0
91.942665,-43.323288,305.15643,255.0
8.606763,-11.848112,86.23105,255.0
8.554324,-11.555765,84.09546,255.0
8.465786,-11.226282,81.6899,255.0
8.434766,-10.983573,79.916016,255.0
7.932159,-10.146238,73.81631,255.0
7.4360633,-9.346216,67.98912,255.0
6.6221766,-8.180957,59.50634,255.0
6.1891785,-7.517509,54.67488,255.0
5.6187067,-6.7117786,48.809635,255.0
5.0682197,-5.9557405,43.30689,255.0
4.850273,-5.608419,40.776897,255.0
0.0,-0.0,0.0,255.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
25.859922,-19.167286,138.67366,255.0
30.107447,-22.088984,159.78435,255.0
38.35928,-27.860281,201.49687,255.0
45.492317,-32.71223,236.54657,255.0
49.766098,-35.43283,256.17404,255.0
50.901756,-35.887844,259.41718,255.0
52.807465,-36.87173,266.481,255.0
53.334362,-36.883278,266.5157,255.0
54.274467,-37.177658,268.59323,255.0
55.231525,-37.47801,270.71265,255.0
